I_Id,I_Name,I_cat,I_rs,I_loc,I_ki,istock
492,MANCHAV SUOP,30,70,0,2,0
345,HYDRABADHI BIRYANI,7,110,0,2,0
485,PANNIR TIKKA MASALA,30,140,0,2,0
438,DHI VADA,29,80,0,1,0
439,UPMA,29,50,0,1,0
442,MY MASALA,31,95,0,1,0
399,I MV,27,50,0,1,-1
400,IDV,27,50,0,1,0
401,halp IDLY,27,25,0,1,0
402,half MENDU VADA,27,25,0,1,0
496,DAL FRAI,30,80,0,2,0
443,MY SADA,31,90,0,1,0
513,MASALA DOSA,31,70,0,1,0
392,ONIYAN UTTHAP,27,70,0,1,0
508,S/VEG CHEEZ PIZA,20,140,0,2,-3
488,PALAK PANNIR,30,130,0,2,0
404,out dor order south indian,17,1,0,1,0
519,PL UTTHAPPA BUTER,31,90,0,1,0
466,DAL KICHDI,30,100,0,2,0
504,PARCEL BAG,25,10,0,0,0
475,MANCHURYAN GRAVI,30,95,0,2,0
520,PEPAR SADA DOSA ,31,99,0,1,0
491,TOMATO SUOP,30,70,0,2,0
481,ALU PALAK,30,100,0,2,0
479,VEG KOLA PURI,30,100,0,2,0
497,DAL THDKA,30,100,0,2,0
457,CHASS,29,20,0,1,0
412,"CHEEZ BT MASALA,[ SABJI]",4,150,0,2,0
477,FIX THALI PARCEL,30,120,0,2,0
476,MINI THLI PARCEL,30,90,0,2,0
472,MANCHURYAN FRID RICE,30,140,0,2,0
467,PALAK KICHIDI,30,100,0,2,0
459,LASSI KARA,29,40,0,1,0
460,THAV ROTI,30,10,0,2,0
461,THAVA ROTI BUTTER,30,15,0,2,0
462,PARATA,30,40,0,2,0
463,PL RICE,30,60,0,2,0
464,JEERA RICE,30,70,0,2,0
465,PULAV RAITHA,30,70,0,2,0
458,LASSI SWEET,29,40,0,1,0
468,VEG PULAV,30,100,0,2,0
423,HALF ALU PALAK,26,50,0,2,0
424,S/N MASALA DOSA,18,95,0,1,0
425,EXTRA SABJI/DAL.,25,20,0,2,0
456,EXTRA PAV,29,7,0,1,0
445,CHEEZ MASALA DOSA,31,105,0,1,0
499,parsel charg,29,30,0,0,-3
518,BUTER MASALA DOSA,31,100,0,1,0
516,BUTER ADD,31,30,0,1,0
517,MIX UTTHAPPA,31,80,0,1,0
502,PL CHEEZ UTTHAPPA,19,90,0,1,0
503,PARSEL BAG ,25,5,0,0,0
500,veg BIRYANI,30,100,0,2,0
509,S/MASHURUM PIZA,20,150,0,2,-2
505,BUTTAR UTTHAPPA,31,110,0,1,0
506,DHAI VADA ,29,80,0,1,0
507,PURI BAJI (4pc),29,100,0,2,0
522,Test,31,1,0,0,0
