id,sub_category_id,name,price,desc,img,created_at,updated_at,deleted_at
,1,VEG KOLAPURI,90,A,VEG KOLAPURI.jpg,,,
,1,VEG KADAI,100,A,VEG KADAI.jpg,,,
,1,VEG THAW MASALA,120,A,VEG THAW MASALA.jpg,,,
,1,VEG TUFANI,130,A,VEG TUFANI.jpg,,,
,1,PUNJABI THALI,110,A,PUNJABI THALI.jpg,,,
,1,PUNJABI THLI PERSEL,120,A,PUNJABI THLI PERSEL.jpg,,,
,1,DUM ALU PUNJABI,100,A,DUM ALU PUNJABI.jpg,,,
,1,STUFF SIMLA,120,A,STUFF SIMLA.jpg,,,
,1,SIMLA MUTER,120,A,SIMLA MUTER.jpg,,,
,1,STTUFF TOMATO MUTTR,120,A,STTUFF TOMATO MUTTR.jpg,,,
,1,BHINDI FRY,120,A,BHINDI FRY.jpg,,,
,1,CHAN MASALA,90,A,CHAN MASALA.jpg,,,
,1,GOBI MUTER,90,A,GOBI MUTER.jpg,,,
,1,ALU MUTER,90,A,ALU MUTER.jpg,,,
,1,ALU PALAK,90,A,ALU PALAK.jpg,,,
,1,ALU METHI,90,A,ALU METHI.jpg,,,
,1,ALU KOBI,90,A,ALU KOBI.jpg,,,
,1,JEERA ALU MUTER,90,A,JEERA ALU MUTER.jpg,,,
,1,SUKKA TOMATO BAJI,90,A,SUKKA TOMATO BAJI.jpg,,,
,2,PANNIR KOFTHA,140,B,PANNIR KOFTHA.jpg,,,
,2,CHEEZ KOFTHA,150,B,CHEEZ KOFTHA.jpg,,,
,2,KASHMIRI KOOFTH,150,B,KASHMIRI KOOFTH.jpg,,,
,2,MALAI KOFTHA,140,B,MALAI KOFTHA.jpg,,,
,2,VEG KOFTHA,130,B,VEG KOFTHA.jpg,,,
,2,NARGIS KOFTHA,140,B,NARGIS KOFTHA.jpg,,,
,4,SHAI PANNIR,140,D,SHAI PANNIR.jpg,,,
,4,PANIR PATIYALA,140,D,PANIR PATIYALA.jpg,,,
,4,PANIR BUT MASALA,120,D,PANIR BUT MASALA.jpg,,,
,4,PANIR TIKKA MASALA,130,D,PANIR TIKKA MASALA.jpg,,,
,4,PANIR KADAI,150,D,PANIR KADAI.jpg,,,
,4,PANIR MUTER,140,D,PANIR MUTER.jpg,,,
,4,PANIR BURJJI,150,D,PANIR BURJJI.jpg,,,
,4,PANIR KURMA,130,D,PANIR KURMA.jpg,,,
,4,PANIR PALAK,130,D,PANIR PALAK.jpg,,,
,4,PANIR CHANA,120,D,PANIR CHANA.jpg,,,
,4,PALAK CORN,120,D,PALAK CORN.jpg,,,
,4,PANIR TUFANI,150,D,PANIR TUFANI.jpg,,,
,4,PANIR GARLIK THAWA,150,D,PANIR GARLIK THAWA.jpg,,,
,4,PANIR THWA MASALA,150,D,PANIR THWA MASALA.jpg,,,
,5,DAL FRY,70,E,DAL FRY.jpg,,,
,5,DAL THDKA,90,E,DAL THDKA.jpg,,,
,5,HALF DAL FRY,40,E,HALF DAL FRY.jpg,,,
,5,DAL TADKA METHI,100,E,DAL TADKA METHI.jpg,,,
,4,HALF PANIR SABJI,70,D,HALF PANIR SABJI.jpg,,,
,6,THAW ROTI,10,F,THAW ROTI.jpg,,,
,6,THAVA ROTI. BT,15,F,THAVA ROTI. BT.jpg,,,
,6,BT PARATA,40,F,BT PARATA.jpg,,,
,6,PARATA,35,F,PARATA.jpg,,,
,27,TOMATO UTTHAPP,70,#N/A,TOMATO UTTHAPP.jpg,,,
,31,SADA DOSA,60,#N/A,SADA DOSA.jpg,,,
,1,punjabi tabal sales ,1,A,punjabi tabal sales .jpg,,,
,6,ALU PARATH,40,F,ALU PARATH.jpg,,,
,6,ALU PARATH BT,45,F,ALU PARATH BT.jpg,,,
,1,out dor order punjabi,1,A,out dor order punjabi.jpg,,,
,7,PANIR PULAV,110,G,PANIR PULAV.jpg,,,
,7,MUSHRUM BIRYANI,130,G,MUSHRUM BIRYANI.jpg,,,
,7,KASHMIRI BIRYANI,130,G,KASHMIRI BIRYANI.jpg,,,
,7,VEG BIRYANI,90,G,VEG BIRYANI.jpg,,,
,7,KASHMIRI PULAV,130,G,KASHMIRI PULAV.jpg,,,
,7,GREN PEAS PULAV,90,G,GREN PEAS PULAV.jpg,,,
,7,JERA RICE,60,G,JERA RICE.jpg,,,
,7,DAL KICHIDI,90,G,DAL KICHIDI.jpg,,,
,7,PALAK KICHDI,90,G,PALAK KICHDI.jpg,,,
,7,PLAIN RICE,50,G,PLAIN RICE.jpg,,,
,7,VEG  PULAV,90,G,VEG  PULAV.jpg,,,
,8,TOMATO SOUP,60,H,TOMATO SOUP.jpg,,,
,8,MANCHU SOUP,60,H,MANCHU SOUP.jpg,,,
,8,MANCHURYAN SOUP,60,H,MANCHURYAN SOUP.jpg,,,
,8,SWEET CORN SOUP,60,H,SWEET CORN SOUP.jpg,,,
,8,HOT &SOUR SUOP,60,H,HOT &SOUR SUOP.jpg,,,
,8,VEG CLEAR  SOUP,60,H,VEG CLEAR  SOUP.jpg,,,
,9,PAN CHILLY DRY,140,I,PAN CHILLY DRY.jpg,,,
,9,PAN CHILLY GRAYVI,140,I,PAN CHILLY GRAYVI.jpg,,,
,9,PANIR SEZWAN DRY,140,I,PANIR SEZWAN DRY.jpg,,,
,9,DRAGAN POTATO,120,I,DRAGAN POTATO.jpg,,,
