id,sub_category_id,name,price,desc,img,created_at,updated_at,deleted_at
,7,HYDRABADHI BIRYANI,110,G,HYDRABADHI BIRYANI.jpg,,,
,30,PANNIR TIKKA MASALA,140,#N/A,PANNIR TIKKA MASALA.jpg,,,
,29,DHI VADA,80,#N/A,DHI VADA.jpg,,,
,29,UPMA,50,#N/A,UPMA.jpg,,,
,31,MY MASALA,95,#N/A,MY MASALA.jpg,,,
,27,I MV,50,#N/A,I MV.jpg,,,
,27,IDV,50,#N/A,IDV.jpg,,,
,27,halp IDLY,25,#N/A,halp IDLY.jpg,,,
,27,half MENDU VADA,25,#N/A,half MENDU VADA.jpg,,,
,30,DAL FRAI,80,#N/A,DAL FRAI.jpg,,,
,31,MY SADA,90,#N/A,MY SADA.jpg,,,
,31,MASALA DOSA,70,#N/A,MASALA DOSA.jpg,,,
,27,ONIYAN UTTHAP,70,#N/A,ONIYAN UTTHAP.jpg,,,
,20,S/VEG CHEEZ PIZA,140,T,S/VEG CHEEZ PIZA.jpg,,,
,30,PALAK PANNIR,130,#N/A,PALAK PANNIR.jpg,,,
,17,out dor order south indian,1,Q,out dor order south indian.jpg,,,
,31,PL UTTHAPPA BUTER,90,#N/A,PL UTTHAPPA BUTER.jpg,,,
,30,DAL KICHDI,100,#N/A,DAL KICHDI.jpg,,,
,25,PARCEL BAG,10,Y,PARCEL BAG.jpg,,,
,30,MANCHURYAN GRAVI,95,#N/A,MANCHURYAN GRAVI.jpg,,,
,31,PEPAR SADA DOSA ,99,#N/A,PEPAR SADA DOSA .jpg,,,
,30,TOMATO SUOP,70,#N/A,TOMATO SUOP.jpg,,,
,30,ALU PALAK,100,#N/A,ALU PALAK.jpg,,,
,30,VEG KOLA PURI,100,#N/A,VEG KOLA PURI.jpg,,,
,30,DAL THDKA,100,#N/A,DAL THDKA.jpg,,,
,29,CHASS,20,#N/A,CHASS.jpg,,,
,4,"CHEEZ BT MASALA,[ SABJI]",150,D,"CHEEZ BT MASALA,[ SABJI].jpg",,,
,30,FIX THALI PARCEL,120,#N/A,FIX THALI PARCEL.jpg,,,
,30,MINI THLI PARCEL,90,#N/A,MINI THLI PARCEL.jpg,,,
,30,MANCHURYAN FRID RICE,140,#N/A,MANCHURYAN FRID RICE.jpg,,,
,30,PALAK KICHIDI,100,#N/A,PALAK KICHIDI.jpg,,,
,29,LASSI KARA,40,#N/A,LASSI KARA.jpg,,,
,30,THAV ROTI,10,#N/A,THAV ROTI.jpg,,,
,30,THAVA ROTI BUTTER,15,#N/A,THAVA ROTI BUTTER.jpg,,,
,30,PARATA,40,#N/A,PARATA.jpg,,,
